iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.4857612207144212,0.03891589847704547,0.4909453710972925,0.02743566344164985,0.6102530192029187,0.0049016621290351925,0.6079196634347565,0.0017373678001576123
1,0.4943855616682379,0.030308611923337586,0.5074308142361719,0.018896141922298403,0.5705385250753163,0.003880068192205491,0.564879221081976,0.0015505003180528458
2,0.6388783354526105,0.02336616080660517,0.6431063714156752,0.0076691652035937264,0.5291603178743104,0.004103782784377994,0.521275385559079,0.0011395467641416525
3,0.6532582315552846,0.014914104243100721,0.6529244242279123,0.0022427809854119306,0.5068974877088328,0.004524775513082731,0.49525000045812034,0.0008271529235090578
4,0.656747960009028,0.02611188772303795,0.6557657667849656,0.0031218711844388145,0.49051689894271816,0.00997390064012795,0.4765249134990368,0.005157686508678147
5,0.6681420530795408,0.026980694969483267,0.6744723226987783,0.00844394665639894,0.47097449210374365,0.008218820706656317,0.4529900092718844,0.0035022094945737804
6,0.6854684122616461,0.030693281964712767,0.6913083806139234,0.007961397460682557,0.4593259028719773,0.008940581650647301,0.43801309985081616,0.00393375683162218
7,0.7043345071993988,0.01833699733972089,0.7060236803117774,0.003351244326005071,0.44845758243335804,0.00960081334755807,0.4267420906726751,0.00221794273656936
8,0.7053022318368336,0.017748576243845595,0.7091266872621429,0.003944546322280826,0.4451469026672615,0.010904923332967368,0.4212250637001744,0.0027366683832432937
9,0.7077869040895133,0.016163065841459125,0.7097666352908932,0.004077319629143848,0.44375188048488223,0.014920100791757578,0.41640153148721115,0.001713482244488349
10,0.7077164954757287,0.01676992985622931,0.7118082148788714,0.00305853912353332,0.44288420884644336,0.01600303512473834,0.4137489739374017,0.001066304409355602
11,0.708370107986757,0.01596573729237173,0.7128261939532698,0.002126705979346832,0.4414282296082773,0.016414223925823163,0.410035740657232,0.0016571771352664028
12,0.7076212491114358,0.016448708189093542,0.7137900277802094,0.0017344271595052412,0.4421413867509372,0.020705144739111607,0.40743527140823244,0.001889489527936509
13,0.7076212491114358,0.016448708189093542,0.7146576893576984,0.0024242498104433486,0.44230457582755617,0.021461616910034165,0.40610858437405445,0.0022762520915922666
14,0.7076332564600343,0.016275829305954916,0.7154528649004342,0.003141641574511481,0.44184019764819976,0.021936917200648155,0.40443127063623374,0.0023667825837178236
15,0.707182866015924,0.015272174299671301,0.716552927949876,0.002689259630622424,0.44170480333517526,0.022033851418096696,0.4028479217804698,0.0028655598400040986
16,0.70620030644825,0.015947495498613556,0.7173460451225098,0.0031708186968714826,0.44222530446243813,0.0218566304895758,0.40066177446381407,0.0019204523697031151
17,0.70620030644825,0.015947495498613556,0.7178164292239719,0.003778712160775401,0.4424233819007582,0.022175719197234937,0.3997947570962341,0.00201983308902647
18,0.7066989055172377,0.015689556823899248,0.7187564562052803,0.0036257462707045343,0.4450767080963483,0.024280769334618875,0.3983229187563181,0.001760381667983821
19,0.7064217086622722,0.01584726485681436,0.71933286113687,0.0039560712044570115,0.4470217406191416,0.02895790652236005,0.3968934160604867,0.0016470773568442645
20,0.7061689734284685,0.01582846543258018,0.7212948222159377,0.004716921728153586,0.44745026587090325,0.028404203199462786,0.39504408379745365,0.001881902278304855
21,0.7083413132513453,0.01501012601704986,0.7217433583668942,0.00490312943101461,0.44729618895959317,0.02855418766518872,0.393698098186526,0.00285919601762965
22,0.7083413132513453,0.01501012601704986,0.7221831816427055,0.004906850086347454,0.4475632168121482,0.028617963501231157,0.39307403360455323,0.0027800931257421025
23,0.7088479486443806,0.014674700151909251,0.7224874828188179,0.0056576746704488385,0.44729468224629576,0.02844785397188189,0.39203156243700854,0.003179022574837282
24,0.7095508133079298,0.01455438710375593,0.724255415492439,0.005163910726790749,0.4491458649025601,0.02855658847206737,0.39079687584506767,0.003766747150445217
25,0.7088141650574693,0.015247018352057436,0.7245960764515353,0.005599729189491846,0.449850099565377,0.029689227639465052,0.3894537028568484,0.0048744141015435
26,0.7083057597363082,0.016540607577117665,0.7248484587165551,0.005698960347281463,0.4501559569935626,0.029769958210572982,0.388702621688989,0.004785812402288923
27,0.7071086236549581,0.01760744235956233,0.7244904681707578,0.005982981497376858,0.4506156749255042,0.03041464012858865,0.38747497482841925,0.005350498722881555
28,0.7069819841008487,0.018185833392999996,0.7255507385490633,0.004801868901067149,0.4526189808728427,0.03298388475346361,0.38665089012990095,0.005489126220820072
29,0.7079529502431134,0.017706025798347524,0.7257211551572325,0.0053437627832231,0.453184473082787,0.03322990842879707,0.38553077508175904,0.005652880393914434
30,0.7062493997464028,0.018860722331945044,0.7266327633699106,0.005274149171727514,0.45381056245272766,0.03534779449842236,0.38406734995412856,0.005596521052634345
31,0.707001355935366,0.01872865864608673,0.727173274431005,0.005603094715959346,0.45373511947937384,0.03518696978091628,0.3827475188843358,0.005000606876493582
32,0.7079797888460762,0.017926576890133303,0.7279318787391993,0.005067272503572859,0.45355341575298613,0.03585028412777453,0.38160635064769277,0.005032748166056909
33,0.7077578885449666,0.018538246333210023,0.7287257837933552,0.004548016373781949,0.4555403209082364,0.03870063219275722,0.3808826954524759,0.0048400366235804345
34,0.7087665148455474,0.017819143778696662,0.729536601089708,0.0046886011881550485,0.4549344405428789,0.038449768525839055,0.3795799796497661,0.005034074872944496
35,0.7092297042666913,0.017530729989384413,0.7296509186712321,0.004321799935209429,0.45454722993577973,0.03866081746539024,0.3783803401900084,0.005483715362865976
36,0.7092297042666913,0.017530729989384413,0.7312336870262088,0.005571280576525113,0.45533050009158565,0.03892666299263369,0.37683473126462597,0.005109363325298072
37,0.7087576357368544,0.016185683515636998,0.7317399696096977,0.0055152187418082985,0.45561379813770825,0.03834840345564995,0.3747034731732725,0.0044232771971361926
38,0.7080120464178196,0.016633962673751532,0.7319261982164286,0.005606018623140758,0.4561715740941776,0.03856463450080032,0.3736732818227224,0.003990248855459091
39,0.7067644163286915,0.016837330093872265,0.7327171390512046,0.005482652474390213,0.45624368190742876,0.03905457859138357,0.3726703130416207,0.003897224433450055
40,0.707260236030618,0.016566460145251465,0.7332984046388693,0.006289019569706045,0.4565206343452618,0.03916479461973976,0.37159423625327487,0.0037013832568604165
41,0.706485189231099,0.01706783566707457,0.734379188762883,0.006528773031497125,0.45898276136328314,0.04281437979267443,0.37001381660361415,0.00334773662769011
42,0.706485189231099,0.01706783566707457,0.7344212940499062,0.006152631743198518,0.4589210916224755,0.042776153609115186,0.36889703331174073,0.002916803653953212
43,0.7051632975403119,0.018239365392729325,0.7357053301606111,0.006336271206362837,0.458806972628708,0.043050572612558013,0.3671824164582129,0.003079045871834646
44,0.7047115975376856,0.018769178268932898,0.7370063743805628,0.007350004515230454,0.45917122169596647,0.043057523779220404,0.3662245784545204,0.0032499181809948446
45,0.7049510570582367,0.018529060426209228,0.7378462951806146,0.006534472118445666,0.4594758395644504,0.043301298826345,0.3644532837478742,0.003026271880039358
46,0.704748262141935,0.017335178158296747,0.7385935741360836,0.005929136520980302,0.4609182007662735,0.045582264515369,0.3636825072093652,0.003308734588158033
47,0.7051950456483805,0.0181547400624617,0.7391472942603714,0.00582425658066649,0.4608806796281808,0.04496524699620453,0.36243226602079487,0.0035671280032093023
